x,y,z,vll_gwc,vll_gsc,fll_gsc,nn_gsc,nn_gwc,m
20033,46962,48854,0,0,0,0,0,50
19709,48172,49238,0,0,0,0,0,50
19153,48477,48689,0,0,0,0,0,50
19493,48274,48708,0,0,0,0,0,50
20854,48500,48938,0,0,0,0,0,50
20056,48720,48684,0,0,0,0,0,50
20138,48310,49830,0,0,0,0,0,50
19858,46632,48425,0,0,0,0,0,50
20279,49077,49151,0,0,0,0,0,50
19220,46908,48371,0,0,0,0,0,50
19835,48490,48245,0,0,0,0,0,50
19177,47235,48728,0,0,0,0,0,50
20295,48786,48592,0,0,0,0,0,50
19524,48311,49298,0,0,0,0,0,50
19565,47310,49005,0,0,0,0,0,50
19136,47532,48627,0,0,0,0,0,50
20277,46911,49087,0,0,0,0,0,50
19355,48728,49383,0,0,0,0,0,50
19629,47998,49287,0,0,0,0,0,50
19612,47045,48483,0,0,0,0,0,50
20024,48568,48236,0,0,0,0,0,50
19133,48029,48805,0,0,0,0,0,50
20268,48462,48493,0,0,0,0,0,50
19587,47586,48974,0,0,0,0,0,50
19422,48440,49000,0,0,0,0,0,50
21069,48357,49447,0,0,0,0,0,50
19297,48630,49476,0,0,0,0,0,50
19525,46809,48284,0,0,0,0,0,50
18979,47456,49135,0,0,0,0,0,50
18468,48964,49560,0,0,0,0,0,50
19695,46960,49017,0,0,0,0,0,50
20171,47768,48980,0,0,0,0,0,50
21056,48124,48875,0,0,0,0,0,50
20299,48697,48198,0,0,0,0,0,50
19845,47723,49089,0,0,0,0,0,50
20201,48233,48727,0,0,0,0,0,50
19819,47581,48920,0,0,0,0,0,50
19643,47671,49139,0,0,0,0,0,50
19235,47535,48663,0,0,0,0,0,50
20096,48677,48598,0,0,0,0,0,50
20087,47898,49147,0,0,0,0,0,50
20208,47639,48792,0,0,0,0,0,50
20095,47836,48848,0,0,0,0,0,50
18974,47952,49090,0,0,0,0,0,50
19900,48959,48795,0,0,0,0,0,50
19563,47352,48767,0,0,0,0,0,50
20364,48598,48470,0,0,0,0,0,50
20090,48043,48823,0,0,0,0,0,50
20104,48695,48386,0,0,0,0,0,50
20176,47565,48630,0,0,0,0,0,50
19955,46852,49474,0,0,0,0,0,50
20430,48346,48637,0,0,0,0,0,50
19982,47958,48879,0,0,0,0,0,50
19723,47497,48896,0,0,0,0,0,50
19601,47526,48741,0,0,0,0,0,50
19581,47812,48877,0,0,0,0,0,50
19776,47102,48918,0,0,0,0,0,50
19885,47234,49039,0,0,0,0,0,50
19783,48276,48881,0,0,0,0,0,50
19908,47915,49088,0,0,0,0,0,50
19925,47684,48857,0,0,0,0,0,50
20290,48748,48385,0,0,0,0,0,50
19715,47418,48963,0,0,0,0,0,50
20044,47538,49038,0,0,0,0,0,50
20049,48523,48618,0,0,0,0,0,50
19510,47832,48934,0,0,0,0,0,50
10900,50857,47590,0,0,0,0,0,50
11470,50607,47711,0,0,0,0,0,50
10612,51049,47744,0,0,0,0,0,50
9233,51017,47010,0,0,0,0,0,50
12028,50646,48125,0,0,0,0,0,50
9528,50842,46704,0,0,0,0,0,50
10625,51396,48505,0,0,0,0,0,50
11201,51606,48350,0,0,0,0,0,50
11163,51436,46844,0,0,0,0,0,50
10492,50646,46797,0,0,0,0,0,50
11373,50529,47857,0,0,0,0,0,50
11315,50871,47534,0,0,0,0,0,50
10666,50705,47525,0,0,0,0,0,50
10752,50642,47367,0,0,0,0,0,50
10553,51552,46577,0,0,0,0,0,50
9310,51132,47019,0,0,0,0,0,50
10819,50780,46607,0,0,0,0,0,50
10621,51174,47947,0,0,0,0,0,50
11484,50046,47560,0,0,0,0,0,50
11149,50805,47613,0,0,0,0,0,50
11360,50836,47133,0,0,0,0,0,50
11270,50725,47200,0,0,0,0,0,50
10708,50600,47741,0,0,0,0,0,50
10875,50855,47588,0,0,0,0,0,50
12568,50163,48094,0,0,0,0,0,50
10972,50257,47489,0,0,0,0,0,50
11113,51339,47626,0,0,0,0,0,50
11135,50896,47620,0,0,0,0,0,50
10909,50868,47461,0,0,0,0,0,50
11309,50654,47155,0,0,0,0,0,50
10832,50943,47665,0,0,0,0,0,50
11859,50763,47848,0,0,0,0,0,50
9841,51226,47805,0,0,0,0,0,50
11819,50464,46773,0,0,0,0,0,50
11109,50870,47685,0,0,0,0,0,50
11117,50738,47544,0,0,0,0,0,50
10375,50833,47972,0,0,0,0,0,50
10821,50910,47632,0,0,0,0,0,50
11837,51158,47360,0,0,0,0,0,50
10528,50622,47515,0,0,0,0,0,50
10860,51499,48324,0,0,0,0,0,50
10688,51013,47796,0,0,0,0,0,50
10808,50781,48309,0,0,0,0,0,50
10865,50799,47667,0,0,0,0,0,50
10696,50832,47708,0,0,0,0,0,50
10844,50895,47377,0,0,0,0,0,50
11593,50521,48028,0,0,0,0,0,50
10941,50759,47472,0,0,0,0,0,50
9746,51083,47192,0,0,0,0,0,50
11654,50067,46682,0,0,0,0,0,50
11914,50208,48413,0,0,0,0,0,50
11536,50559,47933,0,0,0,0,0,50
10920,51226,47077,0,0,0,0,0,50
11190,49960,48202,0,0,0,0,0,50
11010,51786,48547,0,0,0,0,0,50
11457,50456,46748,0,0,0,0,0,50
11669,51024,46914,0,0,0,0,0,50
11425,50538,47952,0,0,0,0,0,50
11160,51612,48316,0,0,0,0,0,50
11417,51794,47315,0,0,0,0,0,50
10724,51265,47540,0,0,0,0,0,50
